step,loss,learning_rate
500,0.0474775173,0.001000000047
1000,0.0075174002,0.0009473685059
1500,0.0054857228,0.0008947368478
2000,0.0052201212,0.0008421053062
2500,0.0053195925,0.0007894737646
3000,0.0039745928,0.0007368421066
3500,0.0044882130,0.0006842105649
4000,0.0055052917,0.0006315789651
4500,0.0045639011,0.0005789473653
5000,0.0039523020,0.0005263158237
5500,0.0040934100,0.0004736842529
6000,0.0041704099,0.0004210526531
6500,0.0035097273,0.0003684210533
7000,0.0037991870,0.0003157894826
7500,0.0037642727,0.0002631579118
8000,0.0042241700,0.0002105263266
8500,0.0039604264,0.0001578947413
9000,0.0039243707,0.0001052631633
9500,0.0038779010,5.263158164e-05
10000,0.0035669566,0
