i,j,x,y,old,new
129,182,-0.3334069592,0.4276147028,5,3
916,780,-1.4613869597,2.5578377277,5,4
130,179,-0.3281910394,0.4268095372,5,3
1824,427,-0.9183790798,4.0414074807,5,1
915,1799,-3.2633705140,3.5076495036,5,4
1832,904,-1.7626562340,4.5029310298,5,1
1794,942,-1.8264573085,4.4625386388,5,3
685,48,-0.1461917193,1.4127931649,5,3
1812,433,-0.9279159550,4.0230476191,5,1
699,1479,-2.6781282176,2.7773936193,5,4
1694,888,-1.7220101724,4.2123973831,5,1
1822,428,-0.9199685590,4.0383475038,5,1
1796,941,-1.8248678293,4.4655986158,5,3
1466,1389,-2.5876094975,4.2250418610,5,2
1789,443,-0.9435422578,3.9864567919,5,3
472,428,-0.7991483690,1.3423714755,5,2
232,1083,-1.9360184373,1.4748972122,5,2
916,779,-1.4596184876,2.5569036660,5,4
327,516,-0.9417969288,1.1350011028,5,2
1816,431,-0.9247369966,4.0291675730,5,1
123,200,-0.3647024780,0.4324456963,5,3
915,1794,-3.2545281536,3.5029791955,5,4
1819,1412,-2.6598765976,4.9514730843,5,1
595,1556,-2.8049929384,2.6416263592,5,4
1494,544,-1.0957564891,3.4916763283,5,4
304,42,-0.1014827443,0.6463244494,5,2
1494,543,-1.0939880170,3.4907422667,5,4
1805,1419,-2.6710029521,4.9300532457,5,1
483,418,-0.7824481090,1.3549980713,5,2
916,781,-1.4631554317,2.5587717893,5,4
125,194,-0.3542706384,0.4308353652,5,3
242,1074,-1.9209971530,1.4864608504,5,2
1839,1402,-2.6439818055,4.9820728537,5,1
1853,912,-1.7786834359,4.5523409276,5,3
260,52,-0.1152296218,0.5677962173,5,0
1798,940,-1.8232783501,4.4686585927,5,3
1820,429,-0.9215580382,4.0352875268,5,1
1811,1416,-2.6662345144,4.9392331766,5,1
1836,902,-1.7594772756,4.5090509836,5,1
19,1328,-2.3502313562,1.2783772035,5,3
915,1796,-3.2580650977,3.5048473187,5,4
775,1940,-3.5001955763,3.3597694934,5,3
915,1793,-3.2527596815,3.5020451339,5,4
1830,905,-1.7642457132,4.4998710528,5,1
1855,911,-1.7770939567,4.5554009046,5,3
1818,430,-0.9231475174,4.0322275499,5,1
325,517,-0.9433864080,1.1319411259,5,2
915,1797,-3.2598335698,3.5057813804,5,4
915,1798,-3.2616020419,3.5067154420,5,4
316,1023,-1.8374278132,1.5866031343,5,2
124,197,-0.3594865582,0.4316405307,5,3
331,514,-0.9386179704,1.1411210567,5,2
122,203,-0.3699183978,0.4332508619,5,3
333,513,-0.9370284912,1.1441810336,5,2
128,185,-0.3386228790,0.4284198684,5,3
1803,1420,-2.6725924313,4.9269932688,5,1
1817,1413,-2.6614660768,4.9484131074,5,1
1787,444,-0.9451317370,3.9833968149,5,3
916,778,-1.4578500155,2.5559696044,5,4
1464,1391,-2.5909674488,4.2229159457,5,2
777,1939,-3.4986060970,3.3628294704,5,3
329,515,-0.9402074496,1.1380610797,5,2
1828,906,-1.7658351925,4.4968110759,5,1
1785,445,-0.9467212162,3.9803368380,5,3
1810,434,-0.9295054343,4.0199876421,5,1
1834,903,-1.7610667548,4.5059910067,5,1
126,191,-0.3490547186,0.4300301996,5,3
915,1795,-3.2562966257,3.5039132571,5,4
127,188,-0.3438387988,0.4292250340,5,3
214,1100,-1.9644715269,1.4548299128,5,2
484,417,-0.7807691334,1.3560610290,5,2
1496,519,-1.0517236799,3.4723188262,5,4
862,875,-1.6245589998,2.5387345409,5,4
1495,533,-1.0763927926,3.4833986697,5,4
335,512,-0.9354390120,1.1472410105,5,2
1694,887,-1.7202417003,4.2114633215,5,1
1814,432,-0.9263264758,4.0261075960,5,1
594,1557,-2.8066719140,2.6405634016,5,4
1494,545,-1.0975249612,3.4926103899,5,4
1815,1414,-2.6630555560,4.9453531304,5,1
686,45,-0.1409757994,1.4119879993,5,3
1813,1415,-2.6646450352,4.9422931535,5,1
1465,1390,-2.5892884731,4.2239789034,5,2
1807,1418,-2.6694134729,4.9331132227,5,1
1494,547,-1.1010619053,3.4944785132,5,4
1494,546,-1.0992934333,3.4935444515,5,4
121,206,-0.3751343176,0.4340560275,5,3
1791,442,-0.9419527786,3.9895167688,5,3
1809,1417,-2.6678239937,4.9361731996,5,1
1796,1425,-2.6808083166,4.9176844420,5,1
1495,532,-1.0746243206,3.4824646081,5,4
